,songs,artists,uris,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
126,Clandestino,Shakira,spotify:track:7DrluKkTviBwCc8AV3VGmf,0.766,0.822,1,-4.126,0,0.16,0.39,3.37e-05,0.349,0.881,165.842,audio_features,7DrluKkTviBwCc8AV3VGmf,spotify:track:7DrluKkTviBwCc8AV3VGmf,https://api.spotify.com/v1/tracks/7DrluKkTviBwCc8AV3VGmf,https://api.spotify.com/v1/audio-analysis/7DrluKkTviBwCc8AV3VGmf,231921,4
127,Solo de Mi,Bad Bunny,spotify:track:5YOkA7qd2983FtBQnP8sYx,0.743,0.73,10,-4.314,0,0.125,0.287,8.1e-05,0.0778,0.15,179.972,audio_features,5YOkA7qd2983FtBQnP8sYx,spotify:track:5YOkA7qd2983FtBQnP8sYx,https://api.spotify.com/v1/tracks/5YOkA7qd2983FtBQnP8sYx,https://api.spotify.com/v1/audio-analysis/5YOkA7qd2983FtBQnP8sYx,197968,4
128,Amanece,Anuel AA,spotify:track:1LiN0Z98FkR1t0m8KmLcAH,0.79,0.631,8,-5.549,0,0.0425,0.437,0.0,0.158,0.889,94.039,audio_features,1LiN0Z98FkR1t0m8KmLcAH,spotify:track:1LiN0Z98FkR1t0m8KmLcAH,https://api.spotify.com/v1/tracks/1LiN0Z98FkR1t0m8KmLcAH,https://api.spotify.com/v1/audio-analysis/1LiN0Z98FkR1t0m8KmLcAH,190005,4
129,Luz Apaga,Ozuna,spotify:track:5Q3e16qE1RE5oilN3ukasm,0.611,0.791,1,-3.558,1,0.173,0.19,3.02e-06,0.12,0.658,192.07,audio_features,5Q3e16qE1RE5oilN3ukasm,spotify:track:5Q3e16qE1RE5oilN3ukasm,https://api.spotify.com/v1/tracks/5Q3e16qE1RE5oilN3ukasm,https://api.spotify.com/v1/audio-analysis/5Q3e16qE1RE5oilN3ukasm,245000,4
130,Dame Algo,Wisin & Yandel,spotify:track:4ByaTrfoYbXrmlbsTG8MTD,0.829,0.723,8,-3.743,0,0.105,0.176,0.0,0.0877,0.721,92.956,audio_features,4ByaTrfoYbXrmlbsTG8MTD,spotify:track:4ByaTrfoYbXrmlbsTG8MTD,https://api.spotify.com/v1/tracks/4ByaTrfoYbXrmlbsTG8MTD,https://api.spotify.com/v1/audio-analysis/4ByaTrfoYbXrmlbsTG8MTD,237907,4
131,Original,Arcangel,spotify:track:1LBlcCtOrKITXpEp1hnNpj,0.798,0.487,1,-4.939,1,0.206,0.0682,0.0,0.0925,0.292,151.02,audio_features,1LBlcCtOrKITXpEp1hnNpj,spotify:track:1LBlcCtOrKITXpEp1hnNpj,https://api.spotify.com/v1/tracks/1LBlcCtOrKITXpEp1hnNpj,https://api.spotify.com/v1/audio-analysis/1LBlcCtOrKITXpEp1hnNpj,246360,4
132,Mala Mía - Remix,Maluma,spotify:track:6sAwJPgaSQ9Q4XGnbx1gZb,0.697,0.772,8,-5.028,0,0.309,0.1,0.0,0.418,0.858,180.046,audio_features,6sAwJPgaSQ9Q4XGnbx1gZb,spotify:track:6sAwJPgaSQ9Q4XGnbx1gZb,https://api.spotify.com/v1/tracks/6sAwJPgaSQ9Q4XGnbx1gZb,https://api.spotify.com/v1/audio-analysis/6sAwJPgaSQ9Q4XGnbx1gZb,207143,4
133,Bebe (feat. Anuel AA),Ozuna,spotify:track:6SIrNxmmdbv1KUbFBu1PaN,0.739,0.688,9,-10.246,1,0.157,0.551,0.00118,0.101,0.582,169.829,audio_features,6SIrNxmmdbv1KUbFBu1PaN,spotify:track:6SIrNxmmdbv1KUbFBu1PaN,https://api.spotify.com/v1/tracks/6SIrNxmmdbv1KUbFBu1PaN,https://api.spotify.com/v1/audio-analysis/6SIrNxmmdbv1KUbFBu1PaN,231602,4
134,PPP,Kevin Roldan,spotify:track:1DcxnVNFAyVl2sDQ646pXS,0.786,0.65,4,-6.839,1,0.109,0.363,8.17e-05,0.122,0.712,92.975,audio_features,1DcxnVNFAyVl2sDQ646pXS,spotify:track:1DcxnVNFAyVl2sDQ646pXS,https://api.spotify.com/v1/tracks/1DcxnVNFAyVl2sDQ646pXS,https://api.spotify.com/v1/audio-analysis/1DcxnVNFAyVl2sDQ646pXS,129040,4
135,Celoso,Lele Pons,spotify:track:33zcmmElV1YbRZe57biUjg,0.746,0.703,4,-4.179,0,0.107,0.352,0.0,0.331,0.667,166.043,audio_features,33zcmmElV1YbRZe57biUjg,spotify:track:33zcmmElV1YbRZe57biUjg,https://api.spotify.com/v1/tracks/33zcmmElV1YbRZe57biUjg,https://api.spotify.com/v1/audio-analysis/33zcmmElV1YbRZe57biUjg,179693,4
