songs,artists,uris,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
Teardrops,Womack & Womack,spotify:track:34zDwAdksPXYzGINUT0oW7,0.881,0.56,8,-13.234,0,0.0895,0.269,0.000259,0.0789,0.925,133.62,303667,4,1
Unforgettable,Natalie Cole,spotify:track:2MVQbDuhVs2muWFURtIdNb,0.286,0.288,5,-13.369,1,0.028,0.85,0.000138,0.0798,0.142,85.691,210907,4,6
Town Called Malice,The Jam,spotify:track:0gdmDP6xy3ZV7JNoHWAN9k,0.542,0.91,7,-8.924,1,0.0873,0.00228,0.00524,0.0686,0.775,101.774,173320,4,5
Woman - Remastered 2010,John Lennon,spotify:track:0GGxVTb0UwDwdaKNjBdCn3,0.588,0.656,3,-6.373,1,0.0224,0.378,0.00227,0.042,0.746,79.701,212933,4,5
Love Is In The Air,John Paul Young,spotify:track:3c4OULLWwgRqBfA2dJtRuY,0.557,0.791,0,-7.201,1,0.0389,0.0254,0.000264,0.0605,0.895,122.34,210293,4,5
Total Eclipse of the Heart,Bonnie Tyler,spotify:track:7wuJGgpTNzbUyn26IOY6rj,0.431,0.723,8,-5.887,1,0.0568,0.145,0.0,0.374,0.19,130.141,267360,4,2
Waterfalls,TLC,spotify:track:6qspW4YKycviDFjHBOaqUY,0.769,0.505,1,-7.345,1,0.0829,0.311,7.49e-05,0.0777,0.757,171.804,279507,4,5
Hurts So Good,John Mellencamp,spotify:track:67eX1ovaHyVPUinMHeUtIM,0.785,0.737,9,-5.306,1,0.0363,0.042,0.000107,0.108,0.971,125.447,218960,4,5
Streets of Philadelphia - Single Edit,Bruce Springsteen,spotify:track:3fbnbn6A5O5RNb08tlUEgd,0.741,0.29,5,-13.251,1,0.0302,0.294,0.118,0.0924,0.443,93.699,195080,4,6
"Love Is All Around - From ""Four Weddings And A Funeral""",Wet Wet Wet,spotify:track:0PCGfA36HrVPmsBZJ57zOU,0.523,0.689,10,-6.58,1,0.027,0.228,0.0,0.109,0.547,84.09,246240,4,5
Break on Through (To the Other Side),The Doors,spotify:track:6ToM0uwxtPKo9CMpbPGYvM,0.421,0.751,9,-9.584,1,0.0472,0.2,0.0,0.17,0.789,89.839,145867,4,5
Better Man,Pearl Jam,spotify:track:2B98ljvzqpCVgt5reTHq28,0.445,0.671,2,-7.937,1,0.0387,0.165,1.56e-05,0.0791,0.267,125.712,268587,4,2
I Got You,Split Enz,spotify:track:3KOPorZiKeW6gFeIViqMoq,0.675,0.494,2,-11.794,1,0.0373,0.0405,6.99e-05,0.0736,0.829,125.736,209467,4,5
Wish You Were Here - 2011 Remaster,Pink Floyd,spotify:track:7aE5WXu5sFeNRh3Z05wwu4,0.5,0.185,7,-20.242,1,0.0535,0.728,0.000746,0.273,0.293,121.002,304200,4,6
Faith - Remastered,George Michael,spotify:track:0HEmnAUT8PHznIAAmVXqFJ,0.887,0.48,11,-11.994,1,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,193200,4,5
And She Was - 2005 Remaster,Talking Heads,spotify:track:5nNZTUzinBDsnj3U76NJFC,0.697,0.846,9,-5.471,1,0.03,0.0059,0.0256,0.0967,0.973,126.467,219413,4,5
History Repeating - Knee Length Mix,Propellerheads,spotify:track:56jlrdCvA7Ih13L9OMcfDS,0.717,0.829,10,-5.432,0,0.0367,0.00261,0.0147,0.106,0.729,144.04,242533,4,1
Little Red Corvette - Single Version,Prince,spotify:track:6X4JeTWCuKEzKOEHXDtyBo,0.777,0.7,1,-11.045,1,0.0869,0.235,8.02e-06,0.836,0.802,122.94,188613,4,4
Macho Man,Village People,spotify:track:0xRDqhYsCW6F9LM4s7gY5z,0.708,0.805,5,-9.103,1,0.0612,0.0472,0.0,0.0867,0.776,133.419,321000,4,5
Wanted Dead Or Alive,Bon Jovi,spotify:track:0oerlffJSzhRVvtDfLcp3N,0.252,0.802,7,-3.976,1,0.0391,0.13,0.0146,0.309,0.253,150.056,308667,4,2
Personal Jesus,Depeche Mode,spotify:track:72a9JWKqJ8SGo0OdyCS12P,0.687,0.852,11,-5.538,1,0.0351,0.104,0.00866,0.0596,0.766,129.981,225040,4,5
Highway to Hell,AC/DC,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,208400,4,1
Thank You,Dido,spotify:track:3yUcJwYu7fXAfqMj9krY6l,0.725,0.583,1,-9.942,0,0.0427,0.3,0.000238,0.0665,0.762,79.984,218360,4,1
Pressure Down,John Farnham,spotify:track:2zPlkcPRXt2pRAPIkoA0Bx,0.715,0.896,6,-9.289,1,0.0483,0.229,0.0012,0.743,0.81,111.798,224507,4,4
You Can't Always Get What You Want,The Rolling Stones,spotify:track:6lFZbCc7pn6Lme1NP7qQqQ,0.32,0.62,0,-9.686,1,0.0594,0.64,6.36e-05,0.253,0.472,86.327,448720,4,6
Let's Dance - 2018 Remaster,David Bowie,spotify:track:3ix6K4wZY29bCujrSznwFZ,0.654,0.743,10,-7.44,0,0.0605,0.0125,0.0272,0.153,0.632,114.846,457676,4,1
Polyester Girl,Regurgitator,spotify:track:5BTdUnDGqtP71jvZrcQJEH,0.746,0.841,8,-6.189,1,0.0295,0.00652,9.9e-05,0.101,0.964,107.941,210840,4,5
Top Of The World,Carpenters,spotify:track:1Ehdm1PDlKrdfyBsjwEvd1,0.379,0.343,10,-12.993,1,0.0385,0.806,0.0,0.0991,0.694,184.301,179173,4,6
While You See A Chance,Steve Winwood,spotify:track:4JAFyW6oZV6DIADeV619QG,0.602,0.732,2,-8.29,1,0.0282,0.36,0.000314,0.0755,0.411,129.355,312773,4,2
Weapon Of Choice (feat. Bootsy Collins) - Remastered Version,Fatboy Slim,spotify:track:3qs3aHNUcqFGv7jMYJJCYa,0.62,0.952,8,-4.452,0,0.0579,0.135,0.788,0.184,0.949,195.926,219813,4,7
Rapture,Blondie,spotify:track:6F2vo4sxRNQ58VYe3pdiaL,0.724,0.704,11,-8.258,0,0.0511,0.113,0.00425,0.466,0.96,107.486,299373,4,4
I Was Only 19 (A Walk in the Light Green),Redgum,spotify:track:4tfUdNH8JBzWRmB2vMSfFg,0.652,0.545,9,-9.86,1,0.0474,0.142,0.0,0.0806,0.368,88.032,259507,4,6
One,U2,spotify:track:3G69vJMWsX6ZohTykad2AU,0.392,0.534,0,-8.793,1,0.0369,0.245,0.00104,0.155,0.325,181.305,276187,4,2
Bridge Over Troubled Water,Simon & Garfunkel,spotify:track:6l8EbYRtQMgKOyc1gcDHF9,0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,293120,4,6
Pleasure And Pain,Divinyls,spotify:track:5Ug4FDeNl30GHSATrz0shq,0.652,0.766,2,-8.556,0,0.03,0.16,0.0,0.23,0.774,135.689,232000,4,1
"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Eric Clapton,spotify:track:3BEZCNZSmVv30vsMNSOCri,0.558,0.524,2,-11.626,0,0.0459,0.321,0.000952,0.94,0.636,93.654,289027,4,4
Golden Years - 2016 Remaster,David Bowie,spotify:track:4JRem7xHp2l0kmUvt9zCKu,0.68,0.701,6,-10.36,0,0.036,0.316,4.72e-06,0.111,0.933,108.287,243280,4,1
"Boom, Boom (Let’s Go Back To My Room) (Re-Recorded / Remastered)",Paul Lekakis,spotify:track:0wX48V9PoM99s01DE9DcHY,0.773,0.959,11,-4.645,0,0.0329,0.16,8.32e-05,0.0737,0.979,130.014,281420,4,1
Miss Independent,Kelly Clarkson,spotify:track:3v4yDypfo94dachEvmjQdj,0.656,0.615,11,-6.359,0,0.137,0.0769,0.000415,0.0706,0.592,175.943,214773,4,1
Breathe,The Prodigy,spotify:track:0Ja4hLKiUSw01E01pJ1yGr,0.673,0.808,9,-6.183,1,0.0491,0.0121,0.878,0.037,0.303,130.041,336280,4,7
Drive,The Cars,spotify:track:3wfujdbamR3Z46F4xav7LM,0.582,0.606,6,-9.961,1,0.0289,0.124,0.00139,0.151,0.504,111.441,234493,5,5
Pick You Up,Powderfinger,spotify:track:53C1LPb2wOPry7mk3WtDdi,0.569,0.698,10,-7.078,0,0.0271,0.000813,0.00281,0.29,0.44,109.477,259373,4,1
You're The One That I Want - From “Grease”,John Travolta,spotify:track:0B9x2BRHqj3Qer7biM3pU3,0.758,0.612,0,-11.403,1,0.0598,0.281,0.00288,0.0954,0.822,106.945,169840,4,5
It's Only Natural,Crowded House,spotify:track:1oSPStIOjKzNhPqCU1xXVi,0.747,0.528,10,-11.915,1,0.0283,0.167,0.0,0.132,0.85,116.259,212373,4,5
Kids,MGMT,spotify:track:1jJci4qxiYcOHhQR247rEU,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,302840,4,2
Opposites Attract,Paula Abdul,spotify:track:7z38bideBRvGAgjXe2SECm,0.783,0.842,1,-8.838,1,0.054,0.0337,2.57e-06,0.0519,0.933,117.79,265373,4,5
Ace of Spades,Motörhead,spotify:track:6EPRKhUOdiFSQwGBRBbvsZ,0.329,0.974,3,-8.77,0,0.135,0.000852,0.000118,0.0904,0.234,140.862,166920,4,2
Somebody To Love - Remastered 2011,Queen,spotify:track:4rDbp1vnvEhieiccprPMdI,0.406,0.698,8,-7.024,1,0.0624,0.186,0.0,0.233,0.333,109.266,296480,3,3
Don't You Want Me,The Human League,spotify:track:3L7RtEcu1Hw3OXrpnthngx,0.731,0.738,9,-8.125,0,0.0377,0.184,0.0,0.214,0.958,117.656,236920,4,1
Shake A Tail Feather - Re-Recording,Ike & Tina Turner,spotify:track:05goPZpfeLYDgsGLgTI3zn,0.56,0.813,5,-10.066,1,0.108,0.77,0.0036,0.255,0.893,151.127,137493,4,5
Bye Bye Bye,*NSYNC,spotify:track:4r8lRYnoOGdEi6YyI5OC1o,0.614,0.928,8,-4.806,0,0.0516,0.0408,0.00104,0.0845,0.879,172.656,200560,4,1
The Day You Went Away - 2007 Remastered,Wendy Matthews,spotify:track:5JLyW6SNEcv5IQJueKnu7P,0.402,0.301,4,-9.945,1,0.0384,0.871,0.0,0.093,0.257,96.485,280547,1,3
Howzat,Sherbet,spotify:track:1rvvzcLXlcWhJHOzjoTrOV,0.405,0.703,5,-4.717,1,0.0348,0.43,1.03e-05,0.135,0.651,108.855,225560,4,5
I'm Gonna Be (500 Miles),The Proclaimers,spotify:track:66S14BkJDxgkYxLl5DCqOz,0.851,0.551,4,-5.177,1,0.0396,0.151,0.0,0.0827,0.807,131.922,219467,4,5
Criminal,Fiona Apple,spotify:track:6PNvv1dmDbOWrAYwEcuKBX,0.595,0.804,7,-7.911,0,0.0326,0.0129,1.97e-05,0.299,0.586,89.846,341533,4,1
Relax,Frankie Goes To Hollywood,spotify:track:2K22nUTdyr48JDwI5t906t,0.676,0.695,11,-13.395,0,0.0392,0.326,1.09e-05,0.0462,0.691,114.93,236800,4,1
Weir,Killing Heidi,spotify:track:1umlKmiauqM9GFnk25HwCb,0.327,0.684,2,-6.62,1,0.0452,0.163,3.93e-06,0.339,0.672,156.069,244867,4,2
"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,spotify:track:0qemIQjSxcKyf42VPfZnfa,0.726,0.779,1,-7.057,0,0.0251,0.0178,0.00178,0.104,0.841,109.133,212800,4,1
The Lovecats,The Cure,spotify:track:6q2T5xXao6mTS6LLE88L84,0.747,0.571,9,-12.9,0,0.086,0.48,1.05e-06,0.242,0.965,91.838,220093,4,1
In the End,Linkin Park,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880,4,1
One Night In Bangkok - From “Chess” / Remastered 2016,Murray Head,spotify:track:1xgqGXZW1udHCjuwjeRDVO,0.954,0.451,2,-9.124,0,0.108,0.193,0.00295,0.0637,0.839,108.842,193440,4,1
With A Little Help From My Friends,Joe Cocker,spotify:track:0YZ3J8xzGwLOg4yEgST1YK,0.307,0.43,2,-11.333,1,0.0629,0.288,0.000994,0.0988,0.305,145.224,312173,3,3
Hungry Like the Wolf - 2009 Remaster,Duran Duran,spotify:track:39lSeqnyjZJejRuaREfyLL,0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16e-06,0.299,0.685,127.568,220627,4,5
Wuthering Heights,Kate Bush,spotify:track:5YSI1311X8t31PBjkBG4CZ,0.481,0.392,1,-11.381,1,0.0312,0.366,0.0452,0.124,0.52,124.572,269067,4,6
Wishing Well,Sananda Maitreya,spotify:track:2bvzxeD1hPWEYotw40Euq9,0.855,0.461,10,-13.096,0,0.0564,0.0965,0.0,0.201,0.833,104.96,210467,4,1
We Are The Champions - Remastered 2011,Queen,spotify:track:1lCRw5FEZ1gPDNPzy1K4zW,0.268,0.459,10,-6.94,1,0.0346,0.378,0.0,0.118,0.175,64.177,179200,4,6
Life in a Northern Town,The Dream Academy,spotify:track:4m3OS54KWywYhP7WD7z1cg,0.563,0.476,4,-13.342,1,0.0329,0.265,0.0,0.494,0.432,121.67,259293,4,6
One Love / People Get Ready - Medley,Bob Marley & The Wailers,spotify:track:2HcyIzVsX45jLIxK7SH2aI,0.725,0.523,10,-9.593,1,0.324,0.0783,0.0,0.0665,0.95,76.292,172933,4,0
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,spotify:track:1TfqLAPs4K3s2rJMoCokcS,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,216933,4,1
Hello,Lionel Richie,spotify:track:6HMvJcdw6qLsyV1b5x29sa,0.424,0.222,9,-15.053,0,0.0391,0.646,0.0,0.148,0.0606,61.648,246933,4,6
Feel Good Inc.,Gorillaz,spotify:track:0d28khcov6AiegSCpG5TuT,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,222640,4,4
Bette Davis Eyes,Kim Carnes,spotify:track:0odIT9B9BvOCnXfS0e4lB5,0.675,0.649,5,-10.271,1,0.0319,0.0204,0.0,0.0959,0.596,116.624,228000,4,5
Kashmir - Remaster,Led Zeppelin,spotify:track:6Vjk8MNXpQpi0F4BefdTyq,0.483,0.615,2,-8.538,1,0.0497,0.452,0.000414,0.0512,0.594,80.576,517125,3,3
Whip It,DEVO,spotify:track:6QG0wcgoCsa9pqFyTg0rRO,0.768,0.716,2,-12.922,1,0.0625,0.0658,0.00213,0.0379,0.961,157.935,158107,4,5
Jealous Guy - Remastered 2010,John Lennon,spotify:track:3D9iV6cYkYJRAPFO6DRKIE,0.489,0.389,4,-11.653,0,0.0284,0.877,0.32,0.105,0.254,131.366,257787,4,6
Hero,Mariah Carey,spotify:track:4FCb4CUbFCMNRkI6lYc1zI,0.501,0.378,4,-9.37,1,0.029,0.735,0.0,0.119,0.178,119.987,257733,4,6
Bohemian Like You,The Dandy Warhols,spotify:track:0yEhNqCwEfy8LHUmnZoHpP,0.584,0.931,9,-6.158,1,0.0344,0.00315,0.772,0.133,0.694,131.275,211707,4,7
Joey,Concrete Blonde,spotify:track:04UWtAIMwi67MG8uHwYqgK,0.607,0.788,7,-5.326,1,0.0293,0.0151,0.0136,0.173,0.334,118.696,248960,4,2
Like a Rolling Stone,Bob Dylan,spotify:track:3AhXZa8sUQht0UEdBJgpGc,0.482,0.721,0,-6.839,1,0.0321,0.731,0.0,0.189,0.557,95.263,369600,4,6
Damn I Wish I Was Your Lover,Sophie B. Hawkins,spotify:track:7kmfQ2QHwGqRCxVHDv5mzo,0.546,0.781,11,-9.439,0,0.0506,0.22,1.51e-05,0.363,0.539,95.032,323267,4,1
Solid Rock - Remastered Version,Goanna,spotify:track:18PsAoBaEHQZRUxigLP8QJ,0.552,0.741,9,-7.388,0,0.0476,0.00699,0.00133,0.0317,0.508,148.996,275227,4,1
Unchained Melody,The Righteous Brothers,spotify:track:2ACjOtICHXrAlP3ijVMSvb,0.349,0.326,0,-10.749,1,0.0286,0.512,0.00144,0.665,0.297,98.888,215853,3,3
Science Fiction,Divinyls,spotify:track:6RFJfrmpqkR6i6w8VFsb6i,0.639,0.817,2,-7.848,0,0.0259,0.0111,0.0,0.0843,0.913,128.746,212973,4,1
Who Will Save Your Soul,Jewel,spotify:track:0OH8dSQmKm2zjhqRPYsk1h,0.686,0.468,7,-9.712,1,0.042,0.7,0.00101,0.13,0.753,126.172,239293,4,6
Simply Irresistible,Robert Palmer,spotify:track:4WHPdjmqPvlAVqZZhq5RAt,0.693,0.935,9,-8.295,1,0.0418,0.146,2.11e-06,0.042,0.68,142.839,255187,4,5
Voodoo Chile,Jimi Hendrix,spotify:track:0auKlivXpm76wR63mMJ3pR,0.298,0.753,0,-7.417,0,0.0894,0.248,0.148,0.112,0.32,164.991,899933,3,3
Best of You,Foo Fighters,spotify:track:5FZxsHWIvUsmSK1IAvm2pp,0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,255627,4,2
Rock the Casbah - Remastered,The Clash,spotify:track:56KqaFSGTb7ifpt16t5Y1N,0.797,0.872,9,-6.727,0,0.0575,0.291,0.0,0.284,0.866,129.885,222427,4,1
Video Killed The Radio Star,The Buggles,spotify:track:7o7E1nrHWncYY7PY94gCiX,0.68,0.678,1,-11.548,1,0.0754,0.103,0.00828,0.204,0.251,131.165,252773,4,5
Beautiful Boy (Darling Boy) - Remastered 2010,John Lennon,spotify:track:5URfZHMlUWTWxPvvSBWcPk,0.574,0.469,2,-11.53,1,0.0403,0.733,1.96e-06,0.856,0.435,111.378,245693,4,4
If You Don't Know Me by Now - 2008 Remaster,Simply Red,spotify:track:7DFawVSjI88xR9mjnWwURg,0.638,0.352,10,-9.266,1,0.0268,0.492,0.0,0.105,0.204,94.173,204000,3,3
Been Caught Stealing,Jane's Addiction,spotify:track:4Qievb8Mqy0qxdLNVl02zt,0.639,0.929,0,-4.762,1,0.212,0.00326,0.0501,0.242,0.688,103.758,214707,4,5
Under the Milky Way,The Church,spotify:track:1RCtHLyq1xIbgGMrYRrKJ2,0.578,0.583,9,-13.416,0,0.0269,0.0548,0.199,0.125,0.519,135.986,297600,4,1
End Of The Road,Boyz II Men,spotify:track:3l3xTXsUXeWlkPqzMs7mPD,0.64,0.427,5,-9.29,0,0.0241,0.0664,0.0,0.0579,0.529,149.703,351467,3,3
Semi-Charmed Life,Third Eye Blind,spotify:track:42et6fnHCw1HIPSrdPprMl,0.64,0.864,7,-6.576,1,0.0314,0.00832,0.0,0.123,0.701,102.026,268360,4,5
Start Me Up - Remastered 2009,The Rolling Stones,spotify:track:7HKez549fwJQDzx3zLjHKC,0.631,0.932,5,-4.142,1,0.0354,0.0436,0.137,0.0918,0.971,122.429,213067,4,5
Sabotage,Beastie Boys,spotify:track:0Puj4YlTm6xNzDDADXHMI9,0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,178440,4,2
Annie's Song,John Denver,spotify:track:4J0DbyODwZJcmIAiTSJfMF,0.304,0.305,2,-10.879,1,0.0298,0.871,0.00368,0.367,0.464,146.066,180693,3,3
I'm Still Standing,Elton John,spotify:track:1jDJFeK9x3OZboIAHsY9k2,0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808,183440,4,2
(Lover) You Don't Treat Me No Good (Live),Sonia Dada,spotify:track:62CkEkHNW82sKhZfG6APMl,0.768,0.496,4,-12.297,1,0.11,0.134,0.0,0.758,0.941,115.211,245493,4,4
Inbetween Days,The Cure,spotify:track:4CRpOsjhvgxjF7rQufmyZ1,0.546,0.836,9,-6.321,1,0.0317,0.107,0.583,0.166,0.735,142.605,177987,4,7
Love...Thy Will Be Done - Single Version,Martika,spotify:track:5nHQ2YPVcddwJz71aupuvz,0.713,0.444,2,-9.997,1,0.0265,0.428,0.00212,0.0905,0.508,91.537,263133,4,6
Horror Movie - 2015 Remaster,Skyhooks,spotify:track:1lczUVx6gkAhEUPvcROXYR,0.67,0.764,9,-5.73,1,0.131,0.468,4.79e-06,0.149,0.239,140.052,230120,4,2
All Fired Up,Pat Benatar,spotify:track:6XpczhG192lULA9i4JLqKJ,0.666,0.883,0,-9.601,1,0.0484,0.0826,0.000563,0.114,0.521,148.06,272200,4,5
U.S. Forces,Midnight Oil,spotify:track:4E5N7XAHosTCQg87xTELoz,0.365,0.87,11,-5.651,0,0.0642,0.00355,0.002,0.757,0.527,148.074,248893,4,4
7 Days,Craig David,spotify:track:49eAIPivcw5idA57ZWnp5h,0.643,0.843,4,-6.247,0,0.0514,0.261,0.0,0.0947,0.883,83.016,237373,4,1
I Try,Macy Gray,spotify:track:5TAf4lnZCZTLlZHNZMLFLi,0.593,0.642,2,-7.284,1,0.0299,0.313,0.000582,0.0804,0.736,76.403,239440,4,5
Kickstart My Heart,Mötley Crüe,spotify:track:7GonnnalI2s19OCQO1J7Tf,0.359,0.981,7,-3.622,0,0.303,0.00125,0.00236,0.284,0.271,178.98,282653,4,2
"Oh, Pretty Woman",Roy Orbison,spotify:track:52HAHV1j93s5B8GoTNI7DJ,0.609,0.584,9,-9.734,1,0.0353,0.725,0.0,0.0854,0.954,127.306,176933,4,6
Funky Cold Medina,Tone-Loc,spotify:track:5YIF6HSOtHN9HdcE5IPzMe,0.988,0.633,5,-15.012,0,0.0888,0.0755,1.88e-06,0.0668,0.929,117.493,248160,4,1
Cold as Ice,Foreigner,spotify:track:7vidktgNZFQylTgH1GEnMs,0.562,0.609,3,-7.063,0,0.0271,0.0264,0.0,0.17,0.512,130.753,200213,4,1
Mustang Sally,The Commitments,spotify:track:7mWdQmeasG17YG0ygCZoNT,0.744,0.738,0,-10.771,1,0.0581,0.0111,0.0,0.0652,0.905,115.077,240907,4,5
Someone Like You,Adele,spotify:track:3bNv3VuUOKgrf5hu3YcuRo,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,285240,4,6
Radio Ga Ga - Remastered 2011,Queen,spotify:track:1nQRg9q9uwALGzouOX5OyQ,0.744,0.502,5,-7.719,1,0.0359,0.183,0.000228,0.189,0.66,112.344,348227,4,5
Desperado - 2013 Remaster,Eagles,spotify:track:2TjnCxxQRYn56Ye8gkUKiW,0.228,0.224,7,-12.749,1,0.0311,0.946,0.000222,0.273,0.18,60.3,213713,4,6
Around the World,Daft Punk,spotify:track:1pKYYY0dkg23sQQXi0Q5zN,0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,429533,4,7
Super Trouper,ABBA,spotify:track:0J2p4KYdr6Mg4ET6JPlbe1,0.764,0.626,0,-8.274,1,0.0288,0.457,6.35e-06,0.201,0.961,118.34,252853,4,5
Run to Paradise,Choirboys,spotify:track:7G0CBF8pUiyyRJGqNZuSuA,0.701,0.745,9,-6.884,1,0.0458,0.224,0.0294,0.0823,0.733,138.887,248307,4,5
"Hello, I Love You",The Doors,spotify:track:3bWGaqVeYKMlLss40mPgNn,0.597,0.554,11,-14.144,0,0.0425,0.029,0.0,0.0766,0.963,117.835,133200,4,1
U Can't Touch This,MC Hammer,spotify:track:1B75hgRqe7A4fwee3g3Wmu,0.867,0.517,11,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,257360,4,1
Would I Lie To You?,Charles & Eddie,spotify:track:3AGr9oU017BVQnT0zwkhyQ,0.547,0.606,11,-8.39,0,0.0774,0.393,0.0,0.203,0.737,202.411,217973,4,1
We're Not Gonna Take It,Twisted Sister,spotify:track:1hlveB9M6ijHZRbzZ2teyh,0.502,0.924,4,-6.299,1,0.0503,0.0127,0.0,0.162,0.922,149.186,219667,4,5
Time After Time,Cyndi Lauper,spotify:track:1Jj6MF0xDOMA3Ut2Z368Bx,0.724,0.436,0,-9.321,1,0.0282,0.576,1.19e-06,0.0908,0.324,130.439,243067,4,6
Band On The Run - Remastered 2010,Wings,spotify:track:1H4idkmruFoJBg1DvUv2tY,0.479,0.601,7,-8.806,1,0.0318,0.0832,0.00142,0.11,0.669,124.966,313027,4,2
Handle With Care,Traveling Wilburys,spotify:track:1vQxicuNSODoBECPMFjHMG,0.676,0.771,7,-5.981,1,0.0283,0.109,0.0,0.247,0.708,115.073,199587,4,5
I'm On Fire,Bruce Springsteen,spotify:track:3PzsbWSQdLCKDLxn7YZfkM,0.62,0.446,1,-14.451,0,0.0347,0.589,0.0299,0.0727,0.868,88.591,155880,4,6
Who Do You Think You Are,Spice Girls,spotify:track:1jI1aLmm5HTwiMtvsbwDJw,0.727,0.83,6,-6.658,0,0.0376,0.0226,0.00356,0.73,0.899,118.002,240707,4,4
Bring Me To Life,Evanescence,spotify:track:0COqiPhxzoWICwFCS4eZcp,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,235893,4,2
Walk Like an Egyptian,The Bangles,spotify:track:3BGbqEDio3ocx1v4egIYr6,0.711,0.788,11,-14.705,1,0.0825,0.0117,2.05e-06,0.311,0.757,103.172,204560,4,5
When a Man Loves a Woman,Percy Sledge,spotify:track:51FpzuGkRYXFgsE2zXt9av,0.516,0.15,1,-20.41,1,0.0272,0.13,0.0755,0.122,0.205,97.398,173867,3,3
Don't Look Back In Anger - Remastered,Oasis,spotify:track:12dU3vAh6AFoJkisorfoUl,0.328,0.936,0,-3.254,1,0.0628,0.0665,2.61e-06,0.165,0.31,162.97,289560,4,2
The A Team,Ed Sheeran,spotify:track:1VdZ0vKfR5jneCmWIUAMxK,0.642,0.289,9,-9.918,1,0.0367,0.669,0.0,0.18,0.407,84.996,258373,4,6
I Send A Message,INXS,spotify:track:6COoRaCNma7V9sBf81y9EK,0.816,0.508,0,-6.839,1,0.0644,0.0788,0.532,0.0745,0.666,136.439,202427,4,7
Sailing,Rod Stewart,spotify:track:6OuRbvP4PgbuzBIapVzmFJ,0.43,0.374,11,-9.949,1,0.0292,0.372,0.379,0.316,0.191,128.56,277960,4,6
Never Ever,All Saints,spotify:track:596XLiW6tohIgkcTMf4M6a,0.738,0.541,1,-5.485,1,0.0311,0.559,0.0,0.0492,0.309,134.187,387573,4,6
Smooth Criminal - 2012 Remaster,Michael Jackson,spotify:track:5T7ywazdGIydr6JCW6t02j,0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,257760,4,7
Landslide,Fleetwood Mac,spotify:track:5ihS6UUlyQAfmp48eSkxuQ,0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,199493,4,6
Reckless (Don't Be So...) - Remastered,Australian Crawl,spotify:track:5XKw4mezzmvfzbHTFx6AwV,0.7,0.339,2,-10.101,1,0.0345,0.168,8.3e-05,0.0772,0.219,60.197,323989,4,6
(Baby I've Got You) On My Mind,Powderfinger,spotify:track:1Vb0sEHboCBthv6fUqLjME,0.366,0.969,3,-3.359,1,0.0932,0.000676,0.000127,0.106,0.665,146.542,200440,4,2
Antmusic - Remastered,Adam & The Ants,spotify:track:2tYnmGr2CTrCugCNK73uoW,0.695,0.806,2,-4.119,1,0.142,0.101,0.00012,0.37,0.635,81.151,216960,4,5
West End Girls - 2001 Remaster,Pet Shop Boys,spotify:track:2yzPBlE5UXK2sqvnNM9QQ0,0.651,0.949,4,-6.566,0,0.0403,0.00737,0.125,0.286,0.61,113.257,285733,4,1
Money - 2011 Remastered Version,Pink Floyd,spotify:track:7Gx2q0ueNwvDp2BOZYGCMO,0.461,0.428,11,-15.675,0,0.132,0.0165,0.000774,0.167,0.784,125.99,393627,1,3
We Are Family,Sister Sledge,spotify:track:5IKLwqBQG6KU6MP2zP80Nu,0.784,0.893,7,-5.153,0,0.0923,0.3,1.57e-05,0.272,0.819,118.738,216733,4,1
