songs,artists,uris,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
Last Resort,We're Wolves,spotify:track:79yk5if7iqRhuQPwgOhCTj,0.59,0.919,11,-3.192,0,0.0878,0.000433,3.1e-06,0.324,0.526,90.497,199558,4,1
Teeth,Dirty D´Sire,spotify:track:6ujuLEt7GwoczB6ll5e6e0,0.566,0.907,3,-6.466,0,0.0412,0.000833,0.0,0.15,0.665,138.974,216043,4,1
Zombies,Alive In Barcelona,spotify:track:57swWpFcz3GzNBRgZIhMDC,0.382,0.804,1,-5.79,1,0.0372,0.000344,0.0055,0.0671,0.486,183.008,189178,4,2
This Is War,No Resolve,spotify:track:2nW8udHE9rOVJ5hfOThcmD,0.557,0.878,10,-5.211,0,0.106,0.000292,0.0,0.148,0.564,103.019,246000,4,1
Erase,Imminence,spotify:track:68OfR28SM9D06I3UfGC2p9,0.341,0.975,1,-4.713,0,0.0984,4.42e-05,8.7e-05,0.0879,0.132,154.961,223089,4,2
Forget Me,Belle Haven,spotify:track:0WBF03nAjiyKKIQthYWUtU,0.433,0.99,5,-2.089,0,0.0944,9.97e-05,0.0,0.37,0.346,94.999,204000,4,2
The Wake,In Vein,spotify:track:22NxWJW6cfNynsmD1hX8Is,0.408,0.909,10,-4.424,0,0.0467,1.22e-05,0.000777,0.464,0.498,174.951,191000,4,2
Hollow Heart,Where Oceans Burn,spotify:track:6CeZmZ7Ih0jAqyE2lG3DGG,0.493,0.909,8,-7.232,1,0.0537,0.00926,0.000273,0.104,0.182,109.993,272727,4,2
82nd All the Way,Amaranthe,spotify:track:1GK39qL3zPowvvb0UpWGyQ,0.459,0.965,0,-6.792,1,0.09,0.000365,1.11e-06,0.0598,0.389,174.947,201547,4,2
The Edge,Entropy Zero,spotify:track:3440SDcTXI0IhitEIYKlUJ,0.516,0.881,7,-8.06,1,0.0291,8.24e-06,0.0175,0.12,0.538,96.991,142991,4,5
Divided,As Everything Unfolds,spotify:track:2WopsTQeTv5tCq1YpsYAf9,0.248,0.928,4,-5.148,0,0.179,0.00272,1.56e-05,0.11,0.116,186.069,200163,4,2
Sunrise,Fallbrook,spotify:track:7yVJ03muILsz1o0WuQ97YY,0.475,0.956,1,-4.942,1,0.128,0.000214,0.00502,0.0824,0.24,162.985,236368,4,2
High Towers,Fifth Dawn,spotify:track:6kr5VBRfu95Ji2e8zExFxS,0.433,0.794,2,-4.468,0,0.0356,0.00151,0.0,0.363,0.445,129.948,252925,4,2
Underneath,Zahna,spotify:track:0emvfKSTwQfCajyOWyNPoN,0.502,0.809,4,-7.549,0,0.032,8.05e-05,0.000228,0.125,0.228,90.021,269889,4,2
Time to Say Goodbye (Reload),May of Sorrow,spotify:track:3XLezo78kRHhI9aR2aT2jN,0.251,0.967,7,-3.283,1,0.174,0.00014,0.0,0.192,0.458,180.003,191922,4,2
Never Surrender,Any Given Day,spotify:track:0kYZIE4fiKIW3TX9BLMkGK,0.425,0.991,0,-2.582,0,0.152,0.000304,2.52e-06,0.355,0.446,160.032,200040,4,2
A New Disaster,Cold Kingdom,spotify:track:0r82w1WB1ldZbGz7rxESy6,0.476,0.86,5,-4.76,1,0.0534,0.000574,3e-06,0.0695,0.46,92.05,219347,4,2
Bitter Taste,No name faces,spotify:track:5lLGgAjOyfU728GNuaUST3,0.574,0.909,7,-7.62,0,0.0489,1.11e-05,0.00223,0.177,0.321,104.026,266538,4,1
The Uprising,Beneath My Feet,spotify:track:3dM69ZWhzKktKrqU4aL69B,0.459,0.96,5,-4.255,1,0.156,5.84e-06,2.73e-06,0.0579,0.295,124.998,179587,4,2
Not Dead Yet,Righteous Vendetta,spotify:track:2kxItp1eDNEjw51GdUXEO1,0.596,0.963,7,-3.848,1,0.102,0.000203,0.0,0.356,0.314,105.003,203500,4,2
Stay,Unparalleled Height,spotify:track:7c9kJ4tYMUlfjra3oKB5vs,0.474,0.978,5,-4.091,0,0.0831,0.000177,5.19e-05,0.361,0.101,101.998,242982,4,2
Saviour,Thousand Thoughts,spotify:track:1yElpqz72Mm0kGboGPrqbg,0.392,0.871,2,-5.756,0,0.0473,1.64e-05,0.0177,0.343,0.484,184.951,230802,4,2
Black Hearts &amp; Dollar $ign$,fade,spotify:track:6An0z1AK7euzmQqDZzQgaq,0.567,0.945,11,-6.065,0,0.0482,4.83e-05,4.09e-05,0.25,0.152,109.016,260366,4,2
Awakening,Throw The Fight,spotify:track:4EmokJEqiyqIUPJ8W1MbbW,0.406,0.99,1,-2.449,0,0.191,0.00197,0.0,0.107,0.245,82.883,191027,4,2
Prisoner,Dead Eyes,spotify:track:0lRGXh6qbhBQm0dEwVzTkl,0.468,0.973,10,-3.844,0,0.165,3.11e-05,0.00393,0.203,0.329,140.049,191307,4,2
Alone,"As Within, So Without",spotify:track:4jD0HMVOvJKgMl1e3NPANw,0.455,0.907,6,-4.164,1,0.0811,6.35e-06,0.000281,0.288,0.257,129.935,291423,4,2
The Birth,Asinis,spotify:track:2AW2qnxHbMQSD9SErgKiKL,0.391,0.964,11,-2.952,0,0.116,3.96e-05,0.00509,0.39,0.304,92.519,256009,4,2
A Place Called Home,Tempting Fate,spotify:track:2YB5i6P5C61xSW2eO9rKFF,0.528,0.95,7,-3.274,1,0.061,0.000287,0.0,0.413,0.628,145.0,231965,4,4
Buried Like Diamonds,Secret Eyes,spotify:track:2NpojTEFodhoZRm1owjsEy,0.42,0.945,7,-5.214,0,0.0688,0.000303,0.053,0.554,0.328,90.983,219599,4,4
Lucid Dreams,October Ends,spotify:track:59YF8QFkS4I8B0kC7A6kM6,0.242,0.849,9,-4.973,0,0.0899,0.000188,0.000636,0.105,0.25,83.653,187202,4,2
Living Is Dying,Threatin,spotify:track:2FJZbYpkaqFvj31p3vuYh6,0.655,0.728,5,-4.132,0,0.0346,0.0554,0.0,0.108,0.31,131.103,219280,4,1
Thoughts of You,AVOID,spotify:track:7qz5jIQUfqrKrXYr6wOJXy,0.47,0.934,1,-4.639,1,0.049,0.000244,4.26e-06,0.0944,0.411,103.062,210728,4,2
Blinded,As I Lay Dying,spotify:track:2HdjEa5BP2VACt1velDTIk,0.332,0.972,8,-5.258,1,0.198,5.84e-06,0.141,0.365,0.122,200.153,202158,4,2
Breathe Again,Ravenface,spotify:track:3zRuV86VY7hBfadLCtE1ap,0.4,0.872,6,-6.726,0,0.0566,0.0321,0.0605,0.35,0.479,145.039,274155,4,2
